extraversion,agreeableness,conscientiousness,neuroticism,openness,implusiveness,rational,experiential,normative.influence,informational.influence,need_for_closure,utilitarian,hedonic,individual,collective
1,3.666666667,3.5,5,2.5,-0.851734893,-1.415992975,-1.41320092,1,2,-1.295750231,0.693256399,0.892810528,-0.2283374,0.52579084
2.5,3,4,4.5,3.5,0.365229733,-1.468687675,-0.464450139,3,2,1.19930117,-1.004609219,-2.116644666,-0.418786,-0.5723714
1.5,4,4,4.5,2,-0.258521341,-0.877693472,0.450623966,2,2,-0.255488491,0.012081969,-0.100120853,-0.3498289,-0.0012319
1,3.333333333,5,4,4,-0.631682916,1.11742044,-1.870737973,2,4,-0.569677848,-0.384956286,1.102213203,-0.9635454,0.55817534
5,5,5,1,5,-1.038315681,1.11742044,-0.464450139,1,1,1.27992059,0.729657844,0.516961068,0.92000149,0.79578042
1.5,3.333333333,3,3,4.5,0.365229733,0.093516134,0.924999357,1,4,-0.532631583,-0.244209446,0.138121414,-0.4246342,-0.4545083
4,3.666666667,2.5,1.5,3,1.365076049,0.631815637,-1.870737973,1,1,0.544676423,-1.2861029,-0.188461089,1.16727326,0.00774537
2.5,2.666666667,4,4,4,-0.226516986,0.093516134,0.450623966,2,2,-0.749619384,1.151237062,0.980100183,1.14285797,0.43139236
1,2.333333333,4,5,4.5,0.741324975,0.093516134,-1.41320092,2,2,-0.363982392,-0.128664871,0.863970935,1.12487591,-1.9080813
4,3.333333333,2.5,2,3,0.959910119,-1.954292478,-0.006913086,2,3,0.544676423,-0.889064644,-1.390795146,-1.1354269,-0.8457708
4,4,4,2,3.5,-1.038315681,0.093516134,-0.955663868,3,4,1.316966855,-0.553465673,-0.207066997,0.26388761,-0.5606391
2,4,4,2,3,-1.038315681,-0.877693472,-0.498126815,1,1,-1.404244132,0.012081969,-0.100120853,0.55570115,-0.3538876
1,4,5,4.5,4,-0.631682916,-0.877693472,-2.345113364,5,4,-1.07876243,-1.393669879,-0.208117577,1.21980768,-0.0363714
2,3.666666667,4,4,5,-0.445102129,1.11742044,0.924999357,2,4,1.499553287,0.012081969,-0.100120853,-1.0850369,0.03115263
2,5,3,2,4,0.146644589,0.093516134,0.450623966,2,3,0.021654601,-1.047929994,-0.078642909,-0.2506083,0.0283976
2,4,3,4,4,0.366696566,-1.954292478,0.450623966,2,4,-0.509522558,-1.631760571,-0.15780004,0.36096379,0.39003062
4.5,4.333333333,4.5,2,4.5,-1.038315681,0.093516134,-1.41320092,4,4,-1.150210065,0.693256399,0.892810528,0.20920878,0.40451793
5,4.333333333,5,1,5,-1.038315681,1.11742044,-0.481288477,4,5,1.994700628,1.389327755,0.929782646,1.19539238,0.38727558
5,5,4.5,1,5,-0.851734893,1.11742044,0.908161019,5,4,2.756802828,-0.827957811,0.219100002,-0.4957357,-0.1046076
2.5,4,4,3,3,-0.291992531,-0.983082871,0.450623966,3,4,-0.363982392,0.488263355,-0.200755929,-1.0850369,0.03115263
5,3,4,2.5,3,0.991914474,0.093516134,0.450623966,4,4,0.14510219,0.488263355,-0.200755929,0.38537908,-0.0336164
1.5,3.666666667,4.5,2.5,4.5,-0.851734893,-1.415992975,0.908161019,3,4,-0.363982392,-0.571666396,-0.019142266,-0.3720998,-0.4986251
1,2.333333333,5,2,1,-1.038315681,-2.439897281,-2.345113364,4,4,-1.404244132,1.389327755,0.929782646,1.31532444,-0.8099191
3,2.333333333,3.5,3.5,4.5,0.553277354,0.093516134,-0.006913086,2,4,-0.363982392,-0.571666396,-0.019142266,-0.4490495,-0.0308613
3.5,4.666666667,4.5,1.5,5,-0.445102129,0.093516134,0.450623966,1,1,1.316966855,0.012081969,-0.100120853,-1.0850369,0.03115263
3,3.333333333,4,3,3.5,0.366696566,0.579120937,-0.481288477,3,4,1.717557536,-1.277960878,0.838003379,0.28401408,0.85779439
2,4,5,2.5,3,-0.038469364,-0.392088669,-0.481288477,3,4,0.422245281,-0.333575703,-0.069459804,-0.3498289,-0.0012319
5,5,5,1,3.5,-0.225050152,0.093516134,0.450623966,1,3,0.931329863,-0.384956286,1.102213203,0.38323467,0.88742386
4.5,4.333333333,5,1.5,3.5,0.148111423,0.093516134,0.450623966,2,3,0.290642356,0.614031056,-0.369024171,0.48459968,-0.0039869
2.5,4.333333333,4,2,3.5,-0.038469364,-0.930388172,0.450623966,4,4,-0.472476292,0.470062632,-0.012831198,0.36096379,0.39003062
4,4.333333333,5,1,4.5,-0.851734893,1.11742044,-1.41320092,2,4,1.208472955,0.250172662,-0.150438391,0.48459968,-0.0039869
3,3.666666667,3,3,3,-1.038315681,0.146210834,1.38253641,5,5,-0.509522558,1.389327755,0.929782646,1.21766327,0.88466882
3.5,4.333333333,3.5,2,4,0.959910119,0.093516134,-0.006913086,4,2,1.354013121,-0.47424033,1.054767703,0.40764997,0.46377687
4.5,4,5,2,4.5,-0.039936198,-0.392088669,0.908161019,2,4,-0.641125484,0.347516514,0.76333586,-0.327558,0.49616137
4.5,4.666666667,5,1.5,5,1.585128026,-0.392088669,-1.396362582,1,2,0.676279348,0.012164182,0.060014864,-1.8669311,-0.0102091
1,4,4,3,4,-0.446568963,1.11742044,-2.345113364,1,4,1.825034989,-1.357186221,-0.42383132,-1.0850369,0.03115263
3.5,4,4.5,1,4,0.365229733,0.631815637,0.467462305,3,3,1.354013121,0.030282691,-0.288045584,-0.4469051,-0.9519016
1.5,2,2,2,3,0.146644589,-0.444783369,-0.023751424,3,4,-0.363982392,-0.925383876,-0.854809967,-0.4713204,-0.5282546
2.5,3.333333333,3.5,4,3,0.180115779,1.11742044,-0.481288477,5,4,0.954438888,1.205757017,0.256190275,-1.0102316,0.48442909
3,4.666666667,5,1,5,-1.038315681,1.11742044,-2.345113364,1,3,2.32018233,-1.977253818,0.193132446,-0.3519733,0.91980836
2,3.333333333,4,3,2.5,-0.039936198,-0.444783369,-1.41320092,2,2,-0.363982392,0.048483414,-0.475970314,0.40979438,-0.4572634
2.5,3.666666667,5,4,4.5,0.148111423,0.093516134,0.450623966,3,3,0.14510219,0.250172662,-0.150438391,-0.3476845,-0.9222721
2,4,4,2,4,0.180115779,0.093516134,0.450623966,2,2,1.18536393,-0.333575703,-0.069459804,-0.327558,0.49616137
2.5,4.666666667,5,1,5,-1.038315681,0.579120937,-0.481288477,2,2,-0.255488491,0.012081969,-0.100120853,-0.327558,0.49616137
2,4,3,4,4,1.177028428,0.579120937,0.450623966,5,5,-0.641125484,-0.192828863,-1.033551592,1.12058708,-0.0660009
3.5,4.333333333,4.5,1.5,5,1.990293957,1.11742044,-0.464450139,5,4,-0.14699459,0.250254875,0.009697327,0.46018438,0.41966008
2,2.666666667,4,2.5,3,0.145177756,-0.930388172,-1.41320092,3,3,0.699388373,-0.932385419,0.647206612,1.02565532,-1.9377108
2.5,3.333333333,3.5,3,3,1.363609215,0.093516134,0.908161019,4,3,0.058700866,-0.067225587,-1.52209127,-0.4224898,-1.3755486
2,2.666666667,2.5,4,4,2.143403555,-0.444783369,-1.41320092,1,4,-0.363982392,-0.561607695,-1.233531465,-0.3254136,-0.4248789
5,4.333333333,5,1,5,-0.225050152,1.11742044,1.38253641,3,2,0.602186817,0.250172662,-0.150438391,1.19539238,0.38727558
2.5,4,4.5,2,3.5,-0.446568963,0.093516134,-0.481288477,2,4,0.530739182,-0.650809526,-1.120841248,-0.2039221,0.10214385
2.5,4.333333333,2.5,2.5,3,-0.445102129,-0.930388172,-0.481288477,2,4,0.021654601,0.250172662,-0.150438391,-0.3476845,-0.9222721
2.5,4,4.5,2,5,0.366696566,0.631815637,-0.481288477,2,4,1.484599599,-0.226008724,-0.049803316,-0.4734648,0.39278565
3,2.333333333,3,4,4,0.958443285,0.093516134,-1.41320092,3,3,0.676279348,-0.412801046,-1.331294503,-0.4469051,-0.9519016
2.5,3.666666667,4,3.5,3,0.178648945,-0.444783369,0.908161019,4,4,-0.632970147,1.072093932,-0.121598798,0.40764997,0.46377687
1,3,4.5,2,2,-0.039936198,0.093516134,-0.955663868,2,4,-0.641125484,-0.333575703,-0.069459804,0.50901497,-0.4276339
