,0,1
0,-0.11107054,0.140172615
1,0.80963962,-0.743237976
2,-0.550005574,-0.087120396
3,0.194861341,-0.546448375
4,-0.510345443,0.42477133
5,0.251045994,-0.481149636
6,-0.166955747,-0.186905529
7,-0.396161281,-0.267207499
8,0.71197998,-0.497852134
9,-0.526869965,0.871364317
10,-0.879094219,-0.006509492
11,-1.329595953,-1.663125696
12,-1.427255592,-1.417739854
13,0.697569759,-1.135614859
14,-0.357637806,-0.957795994
15,0.024791972,-0.181547691
16,-0.088234378,1.360436733
17,2.753555914,0.667421427
18,0.268407727,0.536517003
19,0.284932249,0.089924016
20,-0.423415294,0.214321922
21,-0.572004526,0.156875113
22,-0.11023333,1.604432242
23,-1.524915232,-1.172354013
24,-0.302839414,0.487289403
25,-1.427255592,-1.417739854
26,-0.521294302,0.019576374
27,0.91886596,0.440699376
28,-0.839733534,0.767161639
29,-1.191738419,0.32941922
30,0.882886559,0.601506808
31,-0.412685803,0.179385488
32,-1.509776971,-0.239160341
33,-0.532344395,0.668766839
34,2.138777634,0.864211028
35,-1.329595953,-1.663125696
36,0.366067366,0.291131162
37,-1.175213897,-0.117173767
38,-0.379636758,-0.713800486
39,-0.550005574,-0.087120396
40,-0.378799548,0.750459141
41,-0.298501641,-0.51259334
42,1.338025513,0.996460863
43,0.246408775,0.780512512
44,0.511595917,-1.200154624
45,0.360592937,0.088533684
46,0.008588052,-0.349208735
47,1.354550035,0.549867876
48,0.268407727,0.536517003
49,-1.31770865,-0.848056534
50,0.883186006,0.339727403
51,-0.78081453,-1.12792877
52,0.424366321,-0.727925811
53,-0.307547631,-0.219061297
54,-1.427255592,-1.417739854
55,1.410116848,-0.408961621
56,-0.687025898,-0.615405685
57,-0.162318527,-1.448567677
58,-1.520827064,0.410030124
59,0.383728546,1.047018396
60,-1.601962181,0.208822979
61,-1.427255592,-1.417739854
62,0.405428051,1.064802293
63,-0.504871013,0.627368808
64,0.070247135,-0.081312518
65,0.614320341,-0.252466293
66,0.71197998,-0.497852134
67,-0.205479221,0.503682967
68,0.690818238,1.210403001
69,-0.281139909,0.5050733
70,0.404590841,-0.399457334
71,1.776123337,-0.240505752
72,-0.390686851,-0.06461002
73,0.519612212,0.372823464
74,2.753555914,0.667421427
75,-0.70355042,-0.168812698
76,0.153386355,-0.235763795
77,-1.219211801,0.370817251
78,-1.351594905,-1.419130187
79,-0.351326167,0.709061111
80,-1.329595953,-1.663125696
81,-0.263778176,1.522739939
82,-1.346120475,-1.216532709
83,1.20859392,-0.413582659
84,0.136861832,0.210829192
85,0.251045994,-0.481149636
86,-1.537351586,0.856623111
87,-0.645251465,-1.187869671
88,-0.011508031,0.593513773
89,2.218238332,-1.86310108
90,0.145907822,-0.082702851
91,0.365230156,-1.173128465
92,-0.356800596,0.506463632
93,0.097201701,-0.301062534
94,-1.524915232,-1.172354013
95,-1.134276674,-2.153897379
96,0.561386645,-0.199640521
97,0.273044946,-0.725145145
98,-0.357637806,-0.957795994
99,0.12033731,0.657422179
100,-0.242616434,-0.185515196
101,1.508394329,0.369780774
102,0.677794278,-0.807146382
103,-1.406642902,-0.281948704
104,-1.312234221,-0.645459056
105,1.069159848,0.404267168
106,0.695455458,-0.051259147
107,0.399953621,0.862204815
108,0.382591889,-0.155461825
109,-1.329595953,-1.663125696
110,-0.455297446,-0.712410153
111,-1.31687144,0.616203092
112,-0.686188688,0.848853942
113,0.268407727,0.536517003
114,0.634933031,0.883324857
115,-1.07725481,-0.624339014
116,-0.071709856,0.913843746
117,-0.378799548,0.750459141
118,0.1195001,-0.806837448
119,-1.253935266,-1.664516029
120,0.383429098,1.308797802
121,-0.70355042,-0.168812698
122,1.337188303,-0.467798763
123,-0.707888193,0.831070045
124,-0.219480825,0.772969517
125,0.553797914,0.682117712
126,0.449425955,0.576811275
127,0.689981028,-0.253856626
128,-0.413523013,-1.284874138
129,-1.270459788,-1.217923042
130,-0.144956795,-0.430901038
131,0.043610963,1.424345139
132,0.290406679,0.292521495
133,-1.368119427,-0.9725372
