,0,1,2,3,4
0,0.15662834,0.15531062,0.16208525,0.17927764,0.34669814
1,0.16039057,0.1579097,0.16040659,0.2120551,0.30923805
2,0.15943033,0.1590848,0.17792143,0.2068772,0.29668626
3,0.1616526,0.1637718,0.19908102,0.19668052,0.27881405
4,0.14892145,0.14891611,0.14893496,0.40406698,0.14916055
5,0.15364377,0.15369472,0.17539135,0.15519862,0.36207154
6,0.17106262,0.15439354,0.16360223,0.1550636,0.355878
7,0.20844078,0.15751106,0.15750071,0.3151164,0.16143104
8,0.26968542,0.15980652,0.1660285,0.16558392,0.2388956
9,0.15568405,0.15567607,0.34253377,0.17597717,0.1701289
10,0.1581928,0.29420862,0.23121266,0.15819311,0.15819283
11,0.14960852,0.39872095,0.149581,0.15250878,0.14958072
12,0.17726804,0.15505369,0.15418497,0.3572849,0.15620835
13,0.15289353,0.15291788,0.17169663,0.15310256,0.36938933
14,0.20010446,0.22020535,0.16327892,0.24228118,0.1741301
15,0.18313462,0.23856589,0.16155532,0.25539374,0.16135044
16,0.1543164,0.15447755,0.1784712,0.15726969,0.3554651
17,0.17080402,0.15547943,0.15863974,0.16977754,0.34529927
18,0.21397007,0.16008437,0.16285308,0.2821732,0.18091923
19,0.15199463,0.15184699,0.16431434,0.15256158,0.37928247
20,0.16135351,0.16118248,0.22167192,0.2532226,0.2025695
21,0.15660645,0.15660079,0.1964707,0.16165549,0.32866663
22,0.16185433,0.15853883,0.15870991,0.22910693,0.29178998
23,0.15740852,0.15740852,0.31270084,0.15827592,0.21420625
24,0.15841359,0.16030332,0.29217318,0.15846983,0.23064007
25,0.15593591,0.15593585,0.3383515,0.163774,0.18600267
26,0.15110436,0.15106323,0.15165073,0.15993457,0.38624707
27,0.23436289,0.15872507,0.15874068,0.28605902,0.16211233
28,0.15647766,0.15639518,0.1778948,0.17456648,0.3346659
29,0.1575328,0.15763028,0.31111497,0.15892132,0.21480066
30,0.16885933,0.18849833,0.16168821,0.15748864,0.32346544
31,0.15940446,0.15815157,0.16941462,0.20209587,0.31093344
32,0.15915509,0.15910819,0.2759115,0.16392173,0.24190345
