,0,1,2,3,4
0,0.14947781,0.15139739,0.1494828,0.39995393,0.14968802
1,0.15162532,0.16190453,0.15141949,0.3833488,0.1517018
2,0.15351035,0.3647502,0.16505402,0.16221678,0.15446861
3,0.17224202,0.29395792,0.16621411,0.19905336,0.16853248
4,0.15099286,0.15160915,0.1561215,0.15166824,0.38960826
5,0.15305004,0.16836882,0.15248105,0.37337497,0.15272513
6,0.17687304,0.16229199,0.16802098,0.24998695,0.24282706
7,0.15948704,0.15958343,0.16612726,0.2607843,0.25401804
8,0.16829133,0.18904012,0.1610467,0.32243598,0.15918586
9,0.15745181,0.15748815,0.31166866,0.15803657,0.21535474
10,0.15935618,0.15935606,0.2891828,0.21601756,0.17608745
11,0.16026483,0.20971283,0.16110756,0.19053839,0.27837634
12,0.22203155,0.28395358,0.1603285,0.16744159,0.16624472
13,0.1510705,0.15398028,0.15129185,0.38911802,0.15453938
14,0.16108572,0.37279692,0.15274492,0.16060784,0.15276456
15,0.20341565,0.23071352,0.16483611,0.19880767,0.20222704
16,0.15501955,0.18014555,0.15419555,0.35634688,0.15429245
17,0.15159695,0.15329085,0.16100796,0.3817238,0.15238045
18,0.16864502,0.1938584,0.19337398,0.22996205,0.21416059
19,0.1490015,0.14914964,0.14903358,0.4033939,0.14942148
20,0.16149849,0.1711052,0.23130868,0.18935364,0.24673395
21,0.154638,0.16415764,0.15443477,0.35623664,0.17053297
22,0.14904277,0.14938565,0.14900225,0.40338883,0.14918049
23,0.1588999,0.17499557,0.15922007,0.30592832,0.20095621
24,0.15239768,0.15077618,0.14998354,0.395843,0.15099967
25,0.15548103,0.15548135,0.15853725,0.18836127,0.34213907
26,0.14930499,0.1501636,0.14914781,0.4022226,0.149161
27,0.15073623,0.15313645,0.15038612,0.39262858,0.15311262
28,0.15140094,0.38692454,0.15209746,0.15853238,0.1510447
29,0.15837686,0.21412636,0.15815881,0.304785,0.164553
30,0.15635142,0.17185856,0.17391011,0.34137103,0.15650891
31,0.15108526,0.15489751,0.15335807,0.3870602,0.15359889
32,0.15949889,0.15942396,0.16904505,0.23276561,0.27926645
33,0.16146661,0.16172798,0.23988551,0.22979939,0.20712055
34,0.16060834,0.16163053,0.21349832,0.18910374,0.27515912
35,0.16600151,0.22974017,0.16770157,0.23581003,0.20074672
