,0,1,2,3,4
0,0.15667428,0.15667626,0.19621351,0.3280021,0.16243385
1,0.15994135,0.16000704,0.26142135,0.24518383,0.17344646
2,0.15870565,0.15870565,0.27525905,0.15890297,0.24842665
3,0.16238217,0.1891552,0.23879637,0.19407934,0.21558696
4,0.15594378,0.1563227,0.15779094,0.19399555,0.335947
5,0.16080004,0.16094457,0.2554229,0.23352112,0.18931143
6,0.15382876,0.15382878,0.1785915,0.15401453,0.35973644
7,0.15723394,0.15723397,0.21003293,0.158909,0.31659013
8,0.16087687,0.16097416,0.2639557,0.20109749,0.21309583
9,0.15528814,0.1552883,0.19031304,0.15579064,0.3433199
10,0.15882614,0.15882614,0.24413589,0.16081567,0.27739614
11,0.15505716,0.15546767,0.15635012,0.18648584,0.3466392
12,0.15848237,0.17148992,0.15859975,0.20733231,0.30409563
13,0.15786467,0.15786797,0.19881324,0.3143317,0.17112236
14,0.15934,0.16306487,0.16206747,0.26953515,0.24599253
15,0.1566313,0.33328408,0.16549014,0.17718643,0.16740814
16,0.15992223,0.16007057,0.25513154,0.25235367,0.17252201
17,0.15917605,0.15918131,0.27618358,0.24022786,0.1652312
18,0.15840147,0.15840268,0.17385587,0.2025583,0.30678168
19,0.15495841,0.15495841,0.34972548,0.16386446,0.17649318
20,0.15654637,0.15654637,0.20418271,0.15662023,0.32610434
21,0.16018665,0.16018738,0.27378267,0.1837568,0.22208649
22,0.15901758,0.15902574,0.22759548,0.28708565,0.16727556
23,0.15875243,0.15877295,0.22060297,0.16739036,0.29448128
24,0.15204309,0.15213333,0.16461155,0.15362361,0.37758842
25,0.15753801,0.15753801,0.3100038,0.15816969,0.21675059
26,0.15845041,0.15845387,0.29631308,0.22350475,0.16327795
27,0.15928283,0.15932032,0.27560478,0.16658825,0.2392038
28,0.15928006,0.15928006,0.27302757,0.16589017,0.24252217
29,0.16087729,0.16094178,0.23608713,0.19038716,0.2517066
30,0.15953228,0.15954682,0.2416613,0.27033687,0.16892278
31,0.16102563,0.1610259,0.24618581,0.23831275,0.19344985
32,0.14940766,0.1494077,0.15051842,0.1505258,0.40014046
33,0.15748857,0.15749724,0.18311343,0.3216153,0.18028545
34,0.15683295,0.15683311,0.15936305,0.20327121,0.3236997
35,0.16112824,0.27189854,0.18165538,0.18770158,0.19761634
36,0.16077559,0.16083883,0.22165845,0.19364879,0.2630783
37,0.16048038,0.16049917,0.19486785,0.21117462,0.27297795
38,0.16027142,0.16027361,0.24272984,0.25809613,0.17862903
39,0.15812147,0.1581236,0.209344,0.16697043,0.30744055
40,0.15877198,0.15877198,0.2704341,0.15899928,0.2530226
41,0.15768257,0.1576836,0.21480273,0.16027325,0.3095578
42,0.15886714,0.15887125,0.30208805,0.19744845,0.18272507
43,0.1566348,0.15664794,0.15948361,0.20037884,0.3268548
44,0.15817353,0.15818752,0.21922529,0.16252483,0.30188882
45,0.16021055,0.16153234,0.17536795,0.24917652,0.25371268
